LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
189,prueba,karen,192.168.1.79,10019,2020-11-25,13:23:12.126,2020-11-25 13:23:12,,0.0,OK
190,prueba,karen,192.168.1.79,10019,2020-11-25,13:23:12.194,2020-11-25 13:23:12,authentication,0.0,OK
191,prueba,karen,192.168.1.79,10019,2020-11-25,14:24:12.224,2020-11-25 14:24:12,SET,0.203,OK
192,prueba,karen,192.168.1.79,10019,2020-11-25,14:24:12.259,2020-11-25 14:24:12,SELECT,3.976,OK
193,prueba,karen,192.168.1.79,10019,2020-11-25,13:25:12.288,2020-11-25 13:25:12,SELECT,3.131,OK
194,prueba,karen,192.168.1.79,10019,2020-11-25,13:25:12.364,2020-11-25 13:25:12,idle,0.0,OK
195,prueba,karen,192.168.1.79,10020,2020-11-25,13:26:12.426,2020-11-25 13:26:12,,0.0,OK
196,prueba,karen,192.168.1.79,10020,2020-11-25,13:26:12.501,2020-11-25 13:26:12,authentication,0.0,OK
197,prueba,karen,192.168.1.79,10020,2020-11-25,13:27:12.530,2020-11-25 13:27:12,SET,0.197,OK
198,prueba,karen,192.168.1.79,10020,2020-11-25,13:27:12.563,2020-11-25 13:27:12,SELECT,1.728,OK
199,prueba,karen,192.168.1.79,10020,2020-11-25,13:28:12.594,2020-11-25 13:28:12,SELECT,3.059,OK
200,prueba,karen,192.168.1.79,10020,2020-11-25,13:28:12.689,2020-11-25 13:28:12,SELECT,1.755,OK
201,prueba,karen,192.168.1.79,10021,2020-11-25,13:29:12.712,2020-11-25 13:29:12,,0.0,OK
202,prueba,karen,192.168.1.79,10020,2020-11-25,13:29:12.715,2020-11-25 13:29:12,idle,0.0,OK
203,prueba,karen,192.168.1.79,10021,2020-11-25,13:30:12.775,2020-11-25 13:30:12,authentication,0.0,OK
204,prueba,karen,192.168.1.79,10021,2020-11-25,13:30:12.805,2020-11-25 13:30:12,SET,0.172,OK
205,prueba,karen,192.168.1.79,10021,2020-11-25,13:31:12.838,2020-11-25 13:31:12,SELECT,1.813,OK
206,prueba,karen,192.168.1.79,10021,2020-11-25,13:31:12.869,2020-11-25 13:31:12,SELECT,3.054,OK
207,prueba,karen,192.168.1.79,10021,2020-11-25,13:32:13.068,2020-11-25 13:32:12,SELECT,1.741,OK
208,prueba,karen,192.168.1.79,10024,2020-11-25,13:32:13.091,2020-11-25 13:32:13,,0.0,OK
209,prueba,karen,192.168.1.79,10021,2020-11-25,13:33:13.098,2020-11-25 13:33:12,idle,0.0,OK
210,prueba,karen,192.168.1.79,10024,2020-11-25,13:33:13.158,2020-11-25 13:33:13,authentication,0.0,OK
211,prueba,karen,192.168.1.79,10024,2020-11-25,13:34:13.188,2020-11-25 13:34:13,SET,0.170,OK
212,prueba,karen,192.168.1.79,10024,2020-11-25,13:34:13.220,2020-11-25 13:34:13,SELECT,1.681,OK
213,prueba,karen,192.168.1.79,10024,2020-11-25,13:35:13.252,2020-11-25 13:35:13,SELECT,3.220,OK
214,prueba,karen,192.168.1.79,10024,2020-11-25,13:35:13.327,2020-11-25 13:35:13,SELECT,0.708,OK
215,prueba,karen,192.168.1.79,10025,2020-11-25,13:36:13.354,2020-11-25 13:36:13,,0.0,OK
216,prueba,karen,192.168.1.79,10024,2020-11-25,13:36:13.358,2020-11-25 13:36:13,idle,0.0,OK
217,prueba,karen,192.168.1.79,10025,2020-11-25,13:37:13.417,2020-11-25 13:37:13,authentication,0.0,OK
218,prueba,karen,192.168.1.79,10025,2020-11-25,13:37:13.449,2020-11-25 13:37:13,SET,0.213,OK
219,prueba,karen,192.168.1.79,10025,2020-11-25,13:38:13.481,2020-11-25 13:38:13,SELECT,2.259,OK
220,prueba,karen,192.168.1.79,10025,2020-11-25,13:38:13.513,2020-11-25 13:38:13,SELECT,3.893,OK
221,prueba,karen,192.168.1.79,10025,2020-11-25,13:39:13.587,2020-11-25 13:39:13,SELECT,0.879,OK
222,prueba,karen,192.168.1.79,10025,2020-11-25,13:39:13.618,2020-11-25 13:39:13,SELECT,0.957,OK
223,prueba,karen,192.168.1.79,10025,2020-11-25,13:40:13.647,2020-11-25 13:40:13,idle,0.0,OK
224,prueba,karen,192.168.1.79,10028,2020-11-25,13:40:13.998,2020-11-25 13:40:13,,0.0,OK
225,prueba,karen,192.168.1.79,10028,2020-11-25,13:41:14.071,2020-11-25 13:41:13,authentication,0.0,OK
226,prueba,karen,192.168.1.79,10028,2020-11-25,13:41:14.102,2020-11-25 13:41:13,SET,0.171,OK
227,prueba,karen,192.168.1.79,10028,2020-11-25,13:42:14.134,2020-11-25 13:42:13,SELECT,1.712,OK
228,prueba,karen,192.168.1.79,10028,2020-11-25,13:42:14.165,2020-11-25 13:42:13,SELECT,2.603,OK
